Year,Inflation,Exchange_Rate,Government_Expenditure,External_Balance,Unemployment,GDP_per_Capita,Industry
1991,7.461782957,0.567015333,19.39768553,-0.124333221,8.55,11283.71201,26.71614251
1992,4.591549296,0.569774167,19.8755904,-0.458551854,9.77,11673.58991,26.32776679
1993,2.558577969,0.666756553,19.18501132,-0.084111686,10.35,12261.79825,25.74790133
1994,2.219012605,0.653426604,18.83303252,0.26974608,9.65,12878.01617,26.27401757
1995,2.697495183,0.63366812,17.04159794,0.565478461,8.69,14682.16549,24.36253074
1996,2.851782364,0.640958255,16.6012266,0.47857511,8.19,15644.50259,24.49051806
1997,2.201143135,0.610836114,16.04271008,0.564607905,7.07,16348.67624,23.62815383
1998,1.820561637,0.603823594,16.03974358,-0.477215346,6.2,17072.14582,22.97614124
1999,1.752950801,0.618056845,16.45303897,-1.020754413,6.04,17777.84867,22.57306029
2000,1.182956242,0.660930833,16.64089641,-1.2020873,5.56,18690.86451,22.62307949
2001,1.532349603,0.694655,17.26349863,-1.727283435,4.7,19386.69383,21.71471947
2002,1.520402459,0.667223333,18.13873811,-2.358912206,5.04,20067.86908,21.29240356
2003,1.376500385,0.6124725,18.8381622,-2.12654192,4.81,21096.14612,20.84088962
2004,1.390397567,0.54618,19.40003191,-2.307133401,4.59,22048.39459,20.24221309
2005,2.08913649,0.549998333,19.59744028,-2.137695898,4.75,23157.63364,20.26675265
2006,2.455661664,0.543486667,19.7937825,-1.890168596,5.35,24192.52148,20.13120585
2007,2.386561508,0.499771667,19.68268273,-1.941232795,5.26,25188.76321,19.73771184
2008,3.521408563,0.54396625,20.37995733,-1.686684237,5.62,25783.48939,19.99353665
2009,1.961731736,0.641919263,21.9893182,-1.241281971,7.54,24869.85813,18.55479267
2010,2.492654725,0.647179346,21.52966051,-1.559289622,7.79,25627.62715,18.58807263
2011,3.856112447,0.624140836,20.89625223,-0.790212861,8.04,26282.34708,18.32544404
2012,2.573234797,0.633046989,20.73763724,-0.98884587,7.88,26902.81344,18.30164292
2013,2.291666667,0.639660578,20.12910353,-1.420262372,7.52,27778.09095,18.6217729
2014,1.451120163,0.607729627,19.86621309,-1.942374661,6.11,28830.46049,18.22869519
2015,0.368046842,0.654545479,19.54853007,-1.511648354,5.3,29431.23894,18.09417512
2016,1.008417368,0.740634464,19.21828438,-1.895719368,4.81,30355.07765,17.59399893
2017,2.557755776,0.776976682,18.65932094,-1.340947965,4.33,31524.6438,17.80509988
2018,2.292839903,0.74953154,18.54129342,-1.382425531,4,32384.78573,17.90039883
2019,1.738104601,0.78344511,19.09610949,-1.395573075,3.74,33423.75472,17.75881958
2020,0.989486704,0.779999577,22.6023244,0.609422284,4.472,31369.25001,17.38801913
2021,2.518371096,0.727064945,22.27225941,-0.154022694,4.826,34077.35878,16.6124289
2022,7.922048831,0.811301716,20.99586221,-2.666538982,3.73,37421.49913,16.68198885
